Data,Descrição,Valor
2026-01-05,Supermercado Extra,-245.80
2026-01-07,Salário Mensal,5000.00
2026-01-08,iFood Pedido,-45.90
2026-01-10,Uber,-18.50
2026-01-12,Netflix,-39.90
2026-01-15,Farmácia São João,-89.00
2026-01-18,Posto Ipiranga,-150.00
2026-01-20,Amazon Prime,-299.00
2026-01-22,Smart Fit Academia,-99.90
2026-01-25,Aluguel Apartamento,-1800.00
2026-01-28,Conta de Luz ENEL,-187.00
2026-02-01,Restaurante Outback,-156.00
2026-02-03,Supermercado Pão de Açúcar,-312.40
2026-02-05,Salário Mensal,5000.00
2026-02-07,Spotify Premium,-21.90
2026-02-10,Nubank Fatura Cartão,-850.00
2026-02-12,Cinema Cinemark,-68.00
2026-02-15,Farmácia Raia,-134.00
2026-02-18,Uber,-32.00
2026-02-20,Livraria Saraiva,-79.90
